0.04,1.25
0.152,2.51
0.328,3.76
0.664,5.01
1.088,6.26
1.096,6.26
1.104,6.26
1.112,6.26
1.12,6.26
1.128,6.26
1.136,6.26
1.144,6.26
1.152,6.26
1.16,6.26
1.168,6.26
1.176,6.26
1.184,6.26
1.192,6.26
1.2,6.26
1.208,6.26
1.216,6.26
1.224,6.26
1.232,6.26
1.24,6.26
1.248,6.26
1.256,6.26
1.264,6.26
1.272,6.26
1.28,6.26
1.288,6.26
1.296,6.26
1.304,6.26
1.312,6.26
1.32,6.26
1.328,6.26
1.336,6.26
1.344,6.26
1.352,6.26
1.36,6.26
1.368,6.26
1.376,6.26
1.384,6.26
1.392,6.26
1.4,6.26
1.408,6.26
1.416,6.26
1.424,6.26
1.432,6.26
1.44,6.26
1.448,6.26
1.456,6.26
1.464,6.26
1.472,6.26
1.48,6.26
1.488,6.26
1.496,6.26
1.504,6.26
1.512,6.26
1.52,6.26
1.528,6.26
1.536,6.26
1.544,6.26
1.552,6.26
1.56,6.26
1.568,6.26
1.576,6.26
1.584,6.26
1.592,6.26
1.6,6.26
1.608,6.26
1.616,6.26
1.624,6.26
1.632,6.26
1.64,6.26
1.648,6.26
1.656,6.26
1.664,6.26
1.672,6.26
1.68,6.26
1.688,6.26
1.696,6.26
1.704,6.26
1.712,6.26
1.72,6.26
1.728,6.26
1.736,6.26
1.744,6.26
1.752,6.26
1.76,6.26
1.768,6.26
1.776,6.26
1.784,6.26
1.792,6.26
1.8,6.26
1.808,6.26
1.816,6.26
1.824,6.26
1.832,6.26
1.84,6.26
1.848,6.26
1.856,6.26
1.864,6.26
1.872,6.26
1.88,6.26
1.888,6.26
1.896,6.26
1.904,6.26
1.912,6.26
1.92,6.26
1.928,6.26
1.936,6.26
1.944,6.26
1.952,6.26
1.96,6.26
1.968,6.26
1.976,6.26
1.984,6.26
1.992,6.26
2,6.26
